,song_id,fullname,starttime,endtime,chord_id,duration,id
0,906,E:(1),119.730158,119.78094800000001,100,0.05079000000000633,0
1,906,E:(1),119.78094800000001,119.831738,100,0.05078999999999212,1
2,906,E:(1),119.831738,119.88252800000001,100,0.05079000000000633,2
3,906,E:(1),119.88252800000001,119.933318,100,0.05078999999999212,3
4,906,E:(1),119.933318,119.984108,100,0.05079000000000633,4
5,906,E:(1),119.984108,120.034898,100,0.05078999999999212,5
6,906,E:(1),120.034898,120.085688,100,0.05079000000000633,6
7,906,E:(1),120.085688,120.136478,100,0.05078999999999212,7
8,906,E:(1),120.136478,120.187268,100,0.05079000000000633,8
9,906,E:(1),120.187268,120.23805800000001,100,0.05079000000000633,9
10,906,E:(1),120.23805800000001,120.288848,100,0.05078999999999212,10
11,906,E:(1),120.288848,120.33963800000001,100,0.05079000000000633,11
12,906,E:(1),120.33963800000001,120.390428,100,0.05078999999999212,12
13,906,N,120.399875,120.450665,101,0.05079000000000633,13
14,906,N,120.450665,120.50145499999999,101,0.05078999999999212,14
15,906,N,120.50145499999999,120.552245,101,0.05079000000000633,15
16,906,N,120.552245,120.60303499999999,101,0.05078999999999212,16
17,906,N,120.60303499999999,120.653825,101,0.05079000000000633,17
18,906,N,120.653825,120.70461499999999,101,0.05078999999999212,18
19,906,N,120.70461499999999,120.755405,101,0.05079000000000633,19
20,906,N,120.755405,120.80619499999999,101,0.05078999999999212,20
21,906,N,120.80619499999999,120.856985,101,0.05079000000000633,21
22,906,N,120.856985,120.907775,101,0.05079000000000633,22
23,906,N,120.907775,120.958565,101,0.05078999999999212,23
24,906,N,120.958565,121.009355,101,0.05079000000000633,24
25,906,N,121.009355,121.06014499999999,101,0.05078999999999212,25
26,906,N,121.06014499999999,121.110935,101,0.05079000000000633,26
27,906,N,121.110935,121.16172499999999,101,0.05078999999999212,27
28,906,N,121.16172499999999,121.212515,101,0.05079000000000633,28
29,906,N,121.212515,121.26330499999999,101,0.05078999999999212,29
30,906,N,121.26330499999999,121.314095,101,0.05079000000000633,30
31,906,N,121.314095,121.364885,101,0.05079000000000633,31
32,906,N,121.364885,121.415675,101,0.05078999999999212,32
33,906,N,121.415675,121.466465,101,0.05079000000000633,33
34,906,N,121.466465,121.51725499999999,101,0.05078999999999212,34
35,906,N,121.51725499999999,121.568045,101,0.05079000000000633,35
36,906,N,121.568045,121.61883499999999,101,0.05078999999999212,36
37,906,N,121.61883499999999,121.669625,101,0.05079000000000633,37
38,906,N,121.669625,121.72041499999999,101,0.05078999999999212,38
39,906,N,121.72041499999999,121.771205,101,0.05079000000000633,39
40,906,N,121.771205,121.821995,101,0.05079000000000633,40
41,906,N,121.821995,121.872785,101,0.05078999999999212,41
42,906,N,121.872785,121.923575,101,0.05079000000000633,42
43,906,N,121.923575,121.97436499999999,101,0.05078999999999212,43
44,906,N,121.97436499999999,122.025155,101,0.05079000000000633,44
45,906,N,122.025155,122.07594499999999,101,0.05078999999999212,45
46,906,N,122.07594499999999,122.126735,101,0.05079000000000633,46
47,906,N,122.126735,122.17752499999999,101,0.05078999999999212,47
48,906,N,122.17752499999999,122.228315,101,0.05079000000000633,48
49,906,N,122.228315,122.279105,101,0.05079000000000633,49
